Asked,User Picked,Cost,Selected Points,Known Defects,Features Used,Score
5.0,6.0,260.0,66.66,25.0,27.0,0.01
5.0,8.0,257.0,62.5,26.0,27.0,0.01
6.0,11.0,266.0,54.54,25.0,29.0,0.01
6.0,9.0,260.0,44.44,25.0,27.0,0.01
6.0,10.0,261.0,50.0,26.0,28.0,0.01
6.0,11.0,262.0,54.54,24.0,28.0,0.01
5.0,8.0,265.0,62.5,25.0,27.0,0.01
6.0,10.0,261.0,50.0,26.0,28.0,0.01
6.0,10.0,257.0,50.0,25.0,26.0,0.01
5.0,6.0,267.0,66.66,23.0,28.0,0.01
5.0,6.0,267.0,66.66,23.0,28.0,0.01
5.0,8.0,257.0,62.5,25.0,26.0,0.01
5.0,6.0,267.0,66.66,23.0,28.0,0.01
5.0,6.0,270.0,66.66,25.0,28.0,0.01
5.0,6.0,267.0,66.66,23.0,28.0,0.01
6.0,8.0,262.0,62.5,25.0,27.0,0.015
6.0,8.0,261.0,62.5,26.0,27.0,0.01
5.0,8.0,257.0,62.5,25.0,26.0,0.01
6.0,9.0,262.0,66.66,24.0,27.0,0.01
6.0,8.0,262.0,75.0,25.0,27.0,0.015
